RANK,NAME,position,Total RAA,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,/144,Team
1,최인호,LF,5.22,34,29,241.0,32.1,2.2,2,0,11,0.0,0,4,0.0,0,2,0.0,6,19,0.0,0,10,0.0,2,6,0.0,5.81,-0.32,-0.27,19.77,hanhwa
2,이진영,CF,2.19,19,12,109.0,34.5,3.06,0,0,6,0.0,0,1,0.0,0,3,0.0,4,11,0.0,0,4,0.0,3,4,0.0,2.42,-0.4,0.16,13.71,hanhwa
3,이원석,CF,1.75,12,0,22.0,71.4,4.09,0,0,4,0.0,0,0,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1.82,-0.1,0.03,14.84,hanhwa
4,임종찬,RF,1.68,12,0,28.0,0.0,1.61,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.58,0.0,0.1,11.53,hanhwa
5,장진혁,CF,0.38,2,2,18.0,100.0,1.5,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.31,0.04,0.03,27.58,hanhwa
6,유로결,RF,0.29,1,0,2.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,-0.06,0.35,0.01,14.0,hanhwa
7,이원석,RF,0.12,2,0,2.0,0.0,4.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.11,0.0,0.01,1.02,hanhwa
8,정은원,CF,0.06,6,6,46.0,20.0,2.35,0,0,0,0.0,0,2,0.0,0,0,0.0,1,5,0.0,0,1,0.0,0,1,0.0,0.85,-0.36,-0.43,0.4,hanhwa
9,이명기,CF,0.0,1,0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.07,hanhwa
10,이명기,LF,0.0,1,0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.05,hanhwa
11,정은원,LF,-0.27,8,7,56.0,10.0,2.41,0,0,1,0.0,0,0,0.0,0,0,0.0,1,8,0.0,0,1,0.0,0,0,0.0,-0.25,-0.07,0.05,-1.75,hanhwa
12,채은성,RF,-0.49,1,1,9.0,50.0,4.0,0,0,2,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,0.0,0,0,0.0,-0.51,-0.01,0.03,-2.43,hanhwa
13,유로결,LF,-0.64,1,1,5.0,25.0,1.8,0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,0.0,0,1,0.0,0,0,0.0,-0.71,0.06,0.0,-30.74,hanhwa
14,김태연,RF,-0.92,4,3,24.0,0.0,0.75,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,-0.41,-0.6,0.09,-4.9,hanhwa
15,이진영,RF,-1.09,6,2,18.0,0.0,1.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,0.0,-0.51,-0.64,0.06,-6.83,hanhwa
16,페라자,LF,-1.51,13,3,47.0,22.2,1.72,2,0,2,0.0,0,0,0.0,0,0,0.0,1,5,0.0,0,2,0.0,0,0,0.0,-1.77,0.22,0.05,-5.45,hanhwa
17,페라자,RF,-1.65,34,34,267.0,25.7,2.12,2,0,11,0.0,0,7,0.0,0,0,0.0,10,31,0.0,0,11,0.0,1,4,0.0,0.39,0.0,-2.04,-5.95,hanhwa
18,김강민,CF,-1.87,10,5,49.0,8.3,2.2,0,0,1,0.0,0,0,0.0,0,0,0.0,4,7,0.0,0,4,0.0,0,0,0.0,-1.42,-0.53,0.07,-20.74,hanhwa
19,임종찬,CF,-2.46,16,15,105.0,41.7,2.14,2,0,8,0.0,0,1,0.0,0,1,0.0,3,10,0.0,0,3,0.0,1,1,0.0,-2.62,0.01,0.16,-16.86,hanhwa
1,황성빈,LF,1.14,8,4,44.0,57.1,1.64,0,0,4,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,0.0,0.93,0.16,0.04,6.3,lotte
2,장두성,RF,0.96,6,0,9.2,0.0,1.86,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.79,0.14,0.03,7.29,lotte
3,장두성,CF,0.79,4,1,14.0,50.0,2.57,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.7,0.08,0.02,6.02,lotte
4,김민석,LF,0.54,11,8,77.0,25.9,2.57,1,1,5,20.0,0,1,0.0,0,1,0.0,3,12,0.0,0,5,0.0,2,3,0.0,0.56,-0.09,0.07,5.19,lotte
5,황성빈,RF,0.38,2,0,4.0,0.0,2.25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.37,0.0,0.01,2.12,lotte
6,윤동희,CF,0.27,34,33,285.0,42.2,2.81,1,0,18,0.0,0,7,0.0,0,2,0.0,9,18,0.0,0,13,0.0,4,6,0.0,-0.81,0.65,0.43,1.01,lotte
7,레이예스,CF,0.22,1,0,2.0,0.0,9.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.21,0.0,0.0,0.8,lotte
8,고승민,RF,0.16,1,0,2.0,0.0,4.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.15,0.0,0.01,1.14,lotte
9,정훈,LF,0.0,1,0,2.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.01,lotte
10,김민석,CF,-0.02,2,2,16.1,66.7,4.41,1,0,5,0.0,0,1,0.0,0,2,0.0,1,3,0.0,0,1,0.0,0,0,0.0,0.24,-0.28,0.02,-0.16,lotte
11,황성빈,CF,-0.31,4,3,25.0,0.0,0.36,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0,1,0.0,0,0,0.0,-0.3,-0.05,0.04,-1.69,lotte
12,고승민,LF,-0.46,9,9,63.0,15.4,2.0,2,0,1,0.0,0,1,0.0,0,0,0.0,3,6,0.0,0,3,0.0,1,2,0.0,-0.99,0.46,0.06,-3.32,lotte
13,윤동희,RF,-0.48,2,2,18.0,33.3,2.0,1,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,-0.41,-0.13,0.06,-1.81,lotte
